Domain	Status	Genome ID	Genome Name	
Bacteria	Permanent Draft	2630968623	Klebsiella pneumoniae MRSN 3562	
Bacteria	Permanent Draft	2630968665	Salmonella enterica enterica sv. Bareilly CFSAN001591	
Bacteria	Permanent Draft	2630968817	Salmonella enterica enterica sv. Agona 15.H.03	
Bacteria	Permanent Draft	2630968961	Salmonella enterica enterica sv. Heidelberg 579083-10	
Bacteria	Permanent Draft	2634166407	Salmonella enterica Sal25	
Bacteria	Permanent Draft	2636415662	Salmonella enterica enterica sv. Agona 45.E.09	
Bacteria	Permanent Draft	2636415722	Salmonella enterica enterica sv. Napoli SN310	
Bacteria	Permanent Draft	2636416105	Klebsiella pneumoniae CHS 75	
Bacteria	Permanent Draft	2639763025	Salmonella enterica Paratyphi A BL13440	
Bacteria	Permanent Draft	2639763061	Klebsiella pneumoniae 442	
Bacteria	Permanent Draft	2639763063	Salmonella enterica enterica sv. Agona 07.O.05	
Bacteria	Permanent Draft	2639763123	Salmonella enterica Paratyphi A BL1893	
Bacteria	Permanent Draft	2639763153	Klebsiella pneumoniae MRSN 3852	
Bacteria	Permanent Draft	2645727528	Salmonella enterica Paratyphi A Reil18	
Bacteria	Permanent Draft	2645727602	Salmonella enterica Paratyphi A A5233	
Bacteria	Permanent Draft	2645727709	Klebsiella pneumoniae pneumoniae KK207/1	
Bacteria	Permanent Draft	2645727802	Salmonella enterica enterica sv. Heidelberg 83-1068	
Bacteria	Permanent Draft	2648501141	Salmonella enterica enterica sv. Typhimurium StVIM	
Bacteria	Permanent Draft	2648501226	Klebsiella pneumoniae CDPH3823	
Bacteria	Permanent Draft	2648501446	Salmonella enterica Paratyphi A B943	
Bacteria	Permanent Draft	2648501463	Salmonella enterica Paratyphi A A5230	
Bacteria	Permanent Draft	2648501477	Salmonella enterica ST8493	
Bacteria	Permanent Draft	2648501479	Salmonella enterica ST4329	
Bacteria	Permanent Draft	2648501719	Salmonella enterica enterica sv. Newport 36801	
Bacteria	Permanent Draft	2648501876	Klebsiella pneumoniae MRSN 6902	
Bacteria	Permanent Draft	2648501908	Salmonella enterica enterica sv. Agona 50.E.08	
Bacteria	Permanent Draft	2651869723	Salmonella enterica enterica sv. Typhimurium ST728	
Bacteria	Permanent Draft	2654587669	Salmonella enterica Paratyphi A A65-4	
