Domain	Status	Genome ID	Genome Name	
Bacteria	Permanent Draft	2526164741	Azohydromonas australica DSM 1124	
Bacteria	Permanent Draft	2529292741	Klebsiella pneumoniae pneumoniae JC2877	
Bacteria	Permanent Draft	2529292764	Klebsiella pneumoniae pneumoniae KPNIH16	
Bacteria	Permanent Draft	2529292829	Escherichia coli 2785200	
Bacteria	Permanent Draft	2529292844	Brucella abortus 90/50	
Bacteria	Permanent Draft	2529292896	Brucella abortus 63/168	
Bacteria	Permanent Draft	2529292922	Escherichia coli DEC1C	
Bacteria	Permanent Draft	2529292931	Staphylococcus aureus aureus VRS1	
Bacteria	Permanent Draft	2529292985	Shigella dysenteriae CDC 74-1112	
Bacteria	Permanent Draft	2529292996	Escherichia coli AI27	
Bacteria	Permanent Draft	2529292998	Escherichia coli O127:B8 C43/90	
Bacteria	Permanent Draft	2529293020	Brucella abortus 63/138	
Bacteria	Permanent Draft	2529293023	Brucella abortus NI518	
Bacteria	Permanent Draft	2529293060	Escherichia coli P0304777.1	
Bacteria	Permanent Draft	2529293061	Escherichia coli P0302308.14	
Bacteria	Permanent Draft	2529293150	Escherichia coli P0304816.7	
Bacteria	Permanent Draft	2529293164	Brucella abortus CNGB 308	
Bacteria	Permanent Draft	2531839010	Lachnoclostridium bolteae 90B3	
Bacteria	Permanent Draft	2531839013	Clostridium butyricum 60E.3	
Bacteria	Permanent Draft	2531839014	Lachnoclostridium clostridioforme 90A1	
Bacteria	Permanent Draft	2531839041	Staphylococcus aureus aureus CIG1500	
Bacteria	Permanent Draft	2531839044	Staphylococcus aureus aureus CIG1769	
Bacteria	Permanent Draft	2531839047	Staphylococcus aureus aureus CIG1096	
Bacteria	Permanent Draft	2531839048	Staphylococcus aureus aureus CIG1150	
Bacteria	Permanent Draft	2531839090	Staphylococcus aureus aureus IS-160	
Bacteria	Permanent Draft	2531839091	Staphylococcus aureus aureus IS-157	
Bacteria	Permanent Draft	2531839131	Escherichia coli P0299917.2	
Bacteria	Permanent Draft	2531839135	Brucella ovis IntaBari-2002-82-58	
Bacteria	Permanent Draft	2531839136	Brucella ovis IntaBari-2010-47-871	
Bacteria	Permanent Draft	2531839149	Escherichia coli MP021552.12	
Bacteria	Permanent Draft	2531839150	Listeria monocytogenes sv. 1/2b FSL R2-503	
Bacteria	Permanent Draft	2531839161	Staphylococcus aureus aureus CIGC128	
Bacteria	Permanent Draft	2531839336	Escherichia coli P0305260.11	
Bacteria	Permanent Draft	2531839337	Staphylococcus aureus KLT6	
Bacteria	Permanent Draft	2531839374	Shigella flexneri 1485-80	
Bacteria	Permanent Draft	2531839436	Escherichia coli MP021017.5	
Bacteria	Permanent Draft	2531839439	Escherichia coli MP021017.4	
Bacteria	Permanent Draft	2531839446	Escherichia coli RN587/1	
Bacteria	Permanent Draft	2531839450	Escherichia coli 1357	
Bacteria	Permanent Draft	2531839468	Escherichia coli 3030-1	
Bacteria	Permanent Draft	2531839493	Brucella suis F8/06-2	
Bacteria	Permanent Draft	2531839585	Escherichia coli p0305293.13	
Bacteria	Permanent Draft	2531839602	Shimwellia blattae NBRC 105725	
